Code,Length,Leaf weight,twigs weight
AN1,69.4,4.455,1.028
AN2,101.6,7.503,2.485
AN3,94.4,7.458,2.29
AN4,108.9,8.987,3.168
AN5,106.9,7.933,2.544
AO1,101,11.677,8.728
AO2,92,10.223,4.96
AO3,115.5,11.34,4.887
AO4,96,11.094,4.614
AO5,63,5.264,1.152
BN1,50.2,4.06,0.811
BN2,89.5,5.215,0.92
BN3,79,3.205,1.124
BN4,61.1,2.122,0.924
BN5,78.5,3.204,1.282
BN6,68.3,2.437,0.775
BO1,91.8,8.121,2.395
BO2,148.6,12.663,3.765
BO3,169.9,11.397,12.006
BO4,111.5,6.125,2.648
BO5,132.8,8.819,3.733
BO6,80.5,3.852,1.447
