Date,Tree,N_form,15N_applied_mg,N_rec,d15N,mean_N_rec,SD_N_rec,mean_d15N,SD_d15N
10/08/2016,T1,NH4-N,9.723552203,151.459107,660.95,179.3523227,34.76518415,610.37,59.45405621
10/08/2016,T2,NH4-N,10.23536597,177.965408,584.43,,,,
10/08/2016,T3,NH4-N,9.094760411,208.632453,585.73,,,,
10/08/2016,T1,NO3-N,9.723552203,137.706312,30.09,168.771895,45.73103796,29.35666667,1.693825388
10/08/2016,T2,NO3-N,10.23536597,155.96725,30.31,,,,
10/08/2016,T3,NO3-N,9.094760411,212.642123,27.67,,,,
12/08/2016,T1,NH4-N,9.723552203,299.828078,37.22,116.437326,213.1988267,214.4166667,276.4574583
12/08/2016,T2,NH4-N,10.23536597,35.127066,425.28,,,,
12/08/2016,T3,NH4-N,9.094760411,14.356834,180.75,,,,
12/08/2016,T1,NO3-N,9.723552203,272.235233,23.41,117.5453443,179.1224083,26.54666667,16.38551172
12/08/2016,T2,NO3-N,10.23536597,76.922948,40.64,,,,
12/08/2016,T3,NO3-N,9.094760411,3.477852,15.59,,,,
