Date/Time,Control Plot,Net radiation,Date/Time,Treatment Plot,Shortwave radiation
17/05/2012 13:15,0.203,135.296,25/05/2012 14:45,0,681.371
17/05/2012 13:45,0.203,172.929,25/05/2012 15:15,0,638.871
17/05/2012 14:15,0.609,183.358,25/05/2012 15:45,0,582.719
17/05/2012 14:45,0.203,185.653,25/05/2012 16:15,0,511.909
17/05/2012 15:15,0.406,152.502,25/05/2012 16:45,0,431.175
17/05/2012 15:45,0.203,128.253,25/05/2012 17:15,0,367.093
17/05/2012 16:15,0.203,112.532,25/05/2012 17:45,0,323.074
17/05/2012 16:45,0,66.8118,25/05/2012 18:15,0,255.534
17/05/2012 17:15,0.203,47.132,25/05/2012 18:45,0,183.241
17/05/2012 17:45,0.203,31.3364,25/05/2012 19:15,0,114.952
17/05/2012 18:15,0.203,38.1566,25/05/2012 19:45,0,45.8718
17/05/2012 18:45,0,25.1648,25/05/2012 20:15,0,16.1526
17/05/2012 19:15,0.203,2.47591,25/05/2012 20:45,0,0.85061
17/05/2012 19:45,0,-7.08952,25/05/2012 21:15,0,-2.41027
17/05/2012 20:15,0.203,-8.8398,25/05/2012 21:45,0,-2.718
17/05/2012 20:45,0.203,-14.6876,25/05/2012 22:15,0,-2.71047
17/05/2012 21:15,0.203,-13.1017,25/05/2012 22:45,0,-2.70448
17/05/2012 21:45,0.203,-13.0408,25/05/2012 23:15,0,-2.57698
17/05/2012 22:15,0.609,-13.2814,25/05/2012 23:45,0,-2.38507
17/05/2012 22:45,0.203,-12.4536,26/05/2012 00:15,0,-2.716
17/05/2012 23:15,0.203,-12.7109,26/05/2012 00:45,0,-2.69181
17/05/2012 23:45,0,-13.3276,26/05/2012 01:15,0,-2.56368
18/05/2012 00:15,0.203,-11.5259,26/05/2012 01:45,0,-2.37218
18/05/2012 00:45,0.203,-11.7776,26/05/2012 02:15,0,-2.21679
18/05/2012 01:15,0.203,-15.7377,26/05/2012 02:45,0,-2.24402
18/05/2012 01:45,0.203,-13.4473,26/05/2012 03:15,0,-1.22844
18/05/2012 02:15,0.203,-14.3994,26/05/2012 03:45,0,4.13847
18/05/2012 02:45,0,-10.7893,26/05/2012 04:15,0,15.4159
18/05/2012 03:15,0.203,-12.1836,26/05/2012 04:45,0,54.9237
18/05/2012 03:45,0.203,-11.506,26/05/2012 05:15,0,125.111
18/05/2012 04:15,0,-5.20782,26/05/2012 05:45,0,192.297
18/05/2012 04:45,0.203,2.31783,26/05/2012 06:15,0,257.787
18/05/2012 05:15,0.203,15.053,26/05/2012 06:45,0,329.134
18/05/2012 05:45,0,26.8898,26/05/2012 07:15,0,401.122
18/05/2012 06:15,0.406,61.2962,26/05/2012 07:45,0,472.671
18/05/2012 06:45,0,88.2112,26/05/2012 08:15,0,541.833
18/05/2012 07:15,0,90.8764,26/05/2012 08:45,0,605.18
18/05/2012 07:45,0.203,102.133,26/05/2012 09:15,0,661.478
18/05/2012 08:15,0,95.8739,26/05/2012 09:45,0,709.999
18/05/2012 08:45,0,120.771,26/05/2012 10:15,0,749.285
18/05/2012 09:15,0.203,148.367,26/05/2012 10:45,0,783.901
18/05/2012 09:45,0,111.514,26/05/2012 11:15,0,804.759
18/05/2012 10:15,0.203,184.044,26/05/2012 11:45,0,816.65
18/05/2012 10:45,0,285.004,26/05/2012 12:15,0,818.761
18/05/2012 11:15,0,210.786,26/05/2012 12:45,0,806.843
18/05/2012 11:45,0,296.567,26/05/2012 13:15,0,794.893
18/05/2012 12:15,0,237.953,26/05/2012 13:45,0,771.578
18/05/2012 12:45,0,161.185,26/05/2012 14:15,0,739.181
18/05/2012 13:15,0,217.747,26/05/2012 14:45,0,696.526
18/05/2012 13:45,0,144.239,26/05/2012 15:15,0,651.515
18/05/2012 14:15,0,225.175,26/05/2012 15:45,0,592.807
18/05/2012 14:45,0.203,172.402,26/05/2012 16:15,0,518.674
18/05/2012 15:15,0,188.224,26/05/2012 16:45,0,434.935
18/05/2012 15:45,0.406,134.589,26/05/2012 17:15,0,367.418
18/05/2012 16:15,0.203,137.041,26/05/2012 17:45,0,317.701
18/05/2012 16:45,0.203,66.8221,26/05/2012 18:15,0,254.454
18/05/2012 17:15,0.203,46.5084,26/05/2012 18:45,0,181.511
18/05/2012 17:45,0.609,36.4826,26/05/2012 19:15,0,115.812
18/05/2012 18:15,0.406,15.818,26/05/2012 19:45,0,46.1644
18/05/2012 18:45,0,6.42371,26/05/2012 20:15,0,17.5975
18/05/2012 19:15,0.406,-6.04644,26/05/2012 20:45,0,1.41309
18/05/2012 19:45,0,-19.6928,26/05/2012 21:15,0,-2.40718
18/05/2012 20:15,0,-45.9204,26/05/2012 21:45,0,-3.57433
18/05/2012 20:45,0,-57.9434,26/05/2012 22:15,0,-3.09201
18/05/2012 21:15,0,-55.0187,26/05/2012 22:45,0,-2.77684
18/05/2012 21:45,0,-42.7081,26/05/2012 23:15,0,-2.98374
18/05/2012 22:15,0,-59.535,26/05/2012 23:45,0,-2.6585
18/05/2012 22:45,0,-70.2862,27/05/2012 00:15,0,-2.61302
18/05/2012 23:15,0,-75.7646,27/05/2012 00:45,0,-2.33981
18/05/2012 23:45,0,-82.4315,27/05/2012 01:15,0,-2.35989
19/05/2012 00:15,0,-87.5073,27/05/2012 01:45,0,-2.33751
19/05/2012 00:45,0,-68.7784,27/05/2012 02:15,0,-2.46416
19/05/2012 01:15,0,-32.5277,27/05/2012 02:45,0,-2.55368
19/05/2012 01:45,0,-42.5683,27/05/2012 03:15,0,-1.39596
19/05/2012 02:15,0,-20.1195,27/05/2012 03:45,0,4.36306
19/05/2012 02:45,0,-15.9069,27/05/2012 04:15,0,19.2358
19/05/2012 03:15,0,-14.0334,27/05/2012 04:45,0,48.3754
19/05/2012 03:45,0,-21.3173,27/05/2012 05:15,0,96.3883
19/05/2012 04:15,0,-12.149,27/05/2012 05:45,0,96.619
