Date/Time,value,Net radiation,Plot
17/05/2012 13:15,0.203,135.296,Control
17/05/2012 13:45,0.203,172.929,Control
17/05/2012 14:15,0.609,183.358,Control
17/05/2012 14:45,0.203,185.653,Control
17/05/2012 15:15,0.406,152.502,Control
17/05/2012 15:45,0.203,128.253,Control
17/05/2012 16:15,0.203,112.532,Control
17/05/2012 16:45,0,66.8118,Control
17/05/2012 17:15,0.203,47.132,Control
17/05/2012 17:45,0.203,31.3364,Control
17/05/2012 18:15,0.203,38.1566,Control
17/05/2012 18:45,0,25.1648,Control
17/05/2012 19:15,0.203,2.47591,Control
17/05/2012 19:45,0,-7.08952,Control
17/05/2012 20:15,0.203,-8.8398,Control
17/05/2012 20:45,0.203,-14.6876,Control
17/05/2012 21:15,0.203,-13.1017,Control
17/05/2012 21:45,0.203,-13.0408,Control
17/05/2012 22:15,0.609,-13.2814,Control
17/05/2012 22:45,0.203,-12.4536,Control
17/05/2012 23:15,0.203,-12.7109,Control
17/05/2012 23:45,0,-13.3276,Control
18/05/2012 00:15,0.203,-11.5259,Control
18/05/2012 00:45,0.203,-11.7776,Control
18/05/2012 01:15,0.203,-15.7377,Control
18/05/2012 01:45,0.203,-13.4473,Control
18/05/2012 02:15,0.203,-14.3994,Control
18/05/2012 02:45,0,-10.7893,Control
18/05/2012 03:15,0.203,-12.1836,Control
18/05/2012 03:45,0.203,-11.506,Control
18/05/2012 04:15,0,-5.20782,Control
18/05/2012 04:45,0.203,2.31783,Control
18/05/2012 05:15,0.203,15.053,Control
18/05/2012 05:45,0,26.8898,Control
18/05/2012 06:15,0.406,61.2962,Control
18/05/2012 06:45,0,88.2112,Control
18/05/2012 07:15,0,90.8764,Control
18/05/2012 07:45,0.203,102.133,Control
18/05/2012 08:15,0,95.8739,Control
18/05/2012 08:45,0,120.771,Control
18/05/2012 09:15,0.203,148.367,Control
18/05/2012 09:45,0,111.514,Control
18/05/2012 10:15,0.203,184.044,Control
18/05/2012 10:45,0,285.004,Control
18/05/2012 11:15,0,210.786,Control
18/05/2012 11:45,0,296.567,Control
18/05/2012 12:15,0,237.953,Control
18/05/2012 12:45,0,161.185,Control
18/05/2012 13:15,0,217.747,Control
18/05/2012 13:45,0,144.239,Control
18/05/2012 14:15,0,225.175,Control
18/05/2012 14:45,0.203,172.402,Control
