Date/Time,  precip,  mean_Rn/Rs,Plot
17/05/2012 13:15,0.203,135.296,control
17/05/2012 13:45,0.203,172.929,control
17/05/2012 14:15,0.609,183.358,control
17/05/2012 14:45,0.203,185.653,control
17/05/2012 15:15,0.406,152.502,control
17/05/2012 15:45,0.203,128.253,control
17/05/2012 16:15,0.203,112.532,control
17/05/2012 16:45,0,66.8118,control
17/05/2012 17:15,0.203,47.132,control
17/05/2012 17:45,0.203,31.3364,control
17/05/2012 18:15,0.203,38.1566,control
17/05/2012 18:45,0,25.1648,control
17/05/2012 19:15,0.203,2.47591,control
17/05/2012 19:45,0,-7.08952,control
17/05/2012 20:15,0.203,-8.8398,control
17/05/2012 20:45,0.203,-14.6876,control
17/05/2012 21:15,0.203,-13.1017,control
17/05/2012 21:45,0.203,-13.0408,control
17/05/2012 22:15,0.609,-13.2814,control
17/05/2012 22:45,0.203,-12.4536,control
17/05/2012 23:15,0.203,-12.7109,control
17/05/2012 23:45,0,-13.3276,control
18/05/2012 00:15,0.203,-11.5259,control
18/05/2012 00:45,0.203,-11.7776,control
18/05/2012 01:15,0.203,-15.7377,control
18/05/2012 01:45,0.203,-13.4473,control
18/05/2012 02:15,0.203,-14.3994,control
18/05/2012 02:45,0,-10.7893,control
18/05/2012 03:15,0.203,-12.1836,control
18/05/2012 03:45,0.203,-11.506,control
18/05/2012 04:15,0,-5.20782,control
18/05/2012 04:45,0.203,2.31783,control
18/05/2012 05:15,0.203,15.053,control
18/05/2012 05:45,0,26.8898,control
18/05/2012 06:15,0.406,61.2962,control
18/05/2012 06:45,0,88.2112,control
18/05/2012 07:15,0,90.8764,control
18/05/2012 07:45,0.203,102.133,control
18/05/2012 08:15,0,95.8739,control
18/05/2012 08:45,0,120.771,control
18/05/2012 09:15,0.203,148.367,control
18/05/2012 09:45,0,111.514,control
18/05/2012 10:15,0.203,184.044,control
18/05/2012 10:45,0,285.004,control
18/05/2012 11:15,0,210.786,control
18/05/2012 11:45,0,296.567,control
18/05/2012 12:15,0,237.953,control
18/05/2012 12:45,0,161.185,control
18/05/2012 13:15,0,217.747,control
18/05/2012 13:45,0,144.239,control
18/05/2012 14:15,0,225.175,control
18/05/2012 14:45,0.203,172.402,control
18/05/2012 15:15,0,188.224,control
18/05/2012 15:45,0.406,134.589,control
