"year month"	"prec (mm)"	"TF(mm)"	"TF Control (mm)"	"TF Treatment (mm)"
"1"	"201110"	93.50832	39.3642851444444	38.3199504444444	1.0443347
"2"	"201111"	131.365158	88.5632304444444	38.67792	49.8853104444444
"3"	"201112"	130.746249	87.3721996078431	33.195998	79.4743262222222
"4"	"201201"	51.8862365	25.341132272549	28.036275875	22.9173538809524
"5"	"201202"	37.62690985	5.60396426666667	5.697122	5.49749828571429
"6"	"201203"	58.04344675	11.1273257777778	11.5372983111111	10.7173532444444
"7"	"201204"	85.010402	21.3732378555556	22.1430876666667	20.6033880444444
"8"	"201205"	109.375881	24.6084460019608	25.3730865694444	23.8567901888889
"9"	"201206"	119.669739	30.7906174235294	30.9038681875	30.7228133
"10"	"201207"	148.3361965	48.4088222111111	47.2283691666667	49.5892752555556
"11"	"201208"	110.3276195	29.1641831888889	28.2043634888889	30.1240028888889
"12"	"201209"	96.066651	25.6181760666667	25.8017357333333	25.4346164
"13"	"201210"	132.804298	39.4170615111111	39.1671748777778	39.6669481444444
"14"	"201211"	97.33737	26.8163254166667	26.1520958333333	27.480555
"15"	"201212"	114.9096085	50.3235781666667	48.9067464444444	51.7404098888889
"16"	"201301"	102.1595235	51.0900184902778	48.0285230888889	53.6395726666667
"17"	"201302"	78.193146	32.2913240083333	28.4129188761905	35.4383845333333
"18"	"201303"	57.1207185	15.4762393	13.2814720666667	17.6710065333333
"19"	"201304"	98.0174742	32.0143572588235	31.43859165	32.6188334666667
"20"	"201305"	34.9464476	16.5912982627451	16.8848072069444	16.3528179666667
"21"	"201306"	41.303147	16.762156	16.3985114444444	17.1258005555556
"22"	"201307"	54.785521	16.4252004	16.9233216666667	15.9270791333333
"23"	"201308"	58.986809	23.1740744777778	23.7065671777778	22.6415817777778
"24"	"201309"	50.98233	45.8265116666667	45.0572166666667	46.5958066666667
"25"	"201310"	107.212679	47.3540620555556	46.5591238888889	48.1490002222222
"26"	"201311"	93.6669215	36.3025829666667	35.7538829888889	36.8512829444444
"27"	"201312"	84.350349	29.9868979555556	29.5942213	30.3795746111111
"28"	"201401"	96.906683	37.5702988777778	37.0313443111111	38.1092534444444
"29"	"201402"	124.7991945	56.5755156444444	55.6168444444445	57.5341868444444
"30"	"201403"	85.7231965	34.7300494777778	33.2450926666667	36.2150062888889
"31"	"201404"	63.11907	17.77482102	17.23679324	18.3128488
"32"	"201405"	93.171801	25.34822577	25.0548874511111	25.6415640888889
"33"	"201406"	64.874584	17.6686250555556	18.1884647777778	17.1487853333333
"34"	"201407"	58.0047751	15.5522749222222	15.9739489111111	15.1306009333333
"35"	"201408"	120.9938685	36.8634401222222	36.1453745777778	37.5815056666667
"36"	"201409"	57.0226382	22.2104086611111	21.1803574666667	23.2404598555556
"37"	"201410"	63.8403026	37.4340773833333	35.9975124111111	38.8706423555556
"38"	"201411"	168.4975455	70.4127456598039	68.4036179666667	72.63457675
"39"	"201412"	121.113773	36.6677527696078	33.2369128333333	39.8882218888889
"40"	"201501"	85.9627055	30.6707225588235	27.0023814375	33.9314702222222
"41"	"201502"	47.1329572	11.7213399117108	10.8878355600278	12.4891033830833
"42"	"201503"	90.7552695	27.9749600666667	26.7985549555556	29.1513651777778
"43"	"201504"	84.7585575	22.6070270666667	22.2821202333333	22.9319339
"44"	"201505"	105.0848695	30.1420921055556	29.4113969888889	30.8727872222222
"45"	"201506"	82.1259305	25.9274426944444	26.1286520777778	25.7262333111111
"46"	"201507"	134.502203	37.5024633166667	37.1139821222222	37.8909445111111
"47"	"201508"	106.686563	29.3263218444444	28.3725647888889	30.2800789
"48"	"201509"	53.420445	16.0919880333333	16.3545816	15.8293944666667
"49"	"201510"	96.9078445	35.6229690166667	35.4379072444444	35.8080307888889
"50"	"201511"	95.45902	37.5511077777778	36.2611	38.8411155555556
