year month	prec (mm)	TF(mm)	TF Control (mm)	TF Treatment (mm)		TF/RF(%)
1	201110	93.50832	39.36428514	38.31995044	1.0443347	42%
2	201111	131.365158	88.56323044	38.67792	49.88531044	67%
3	201112	130.746249	87.37219961	33.195998	79.47432622	67%
4	201201	51.8862365	25.34113227	28.03627588	22.91735388	49%
5	201202	37.62690985	5.603964267	5.697122	5.497498286	15%
6	201203	58.04344675	11.12732578	11.53729831	10.71735324	19%
7	201204	85.010402	21.37323786	22.14308767	20.60338804	25%
8	201205	109.375881	24.608446	25.37308657	23.85679019	22%
9	201206	140.665722	30.79061742	30.90386819	30.7228133	22%
10	201207	194.9939365	48.40882221	47.22836917	49.58927526	25%
11	201208	110.3276195	29.16418319	28.20436349	30.12400289	26%
12	201209	96.066651	25.61817607	25.80173573	25.4346164	27%
13	201210	132.804298	39.41706151	39.16717488	39.66694814	30%
14	201211	89.9919675	26.81632542	26.15209583	27.480555	30%
15	201212	112.3686185	56.0740175	54.51535878	57.63267622	50%
16	201301	102.1595235	55.74513605	52.56882831	58.40950256	55%
17	201302	78.193146	32.29132401	28.41291888	35.43838453	41%
18	201303	57.1207185	15.4762393	13.28147207	17.67100653	27%
19	201304	98.0174742	32.01435726	31.43859165	32.61883347	33%
20	201305	34.9464476	16.59129826	16.88480721	16.35281797	47%
21	201306	41.303147	114.0895723	116.2590218	111.9201229	276%
22	201307	54.785521	288.9419661	296.5327506	281.3511817	527%
23	201308	58.986809	23.17407448	23.70656718	22.64158178	39%
24	201309	50.98233	45.82651167	45.05721667	46.59580667	90%
25	201310	107.212679	47.35406206	46.55912389	48.14900022	44%
26	201311	93.6669215	36.30258297	35.75388299	36.85128294	39%
27	201312	84.350349	29.98689796	29.5942213	30.37957461	36%
28	201401	96.906683	37.57029888	37.03134431	38.10925344	39%
29	201402	124.7991945	56.57551564	55.61684444	57.53418684	45%
30	201403	85.7231965	34.73004948	33.24509267	36.21500629	41%
31	201404	63.11907	17.77482102	17.23679324	18.3128488	28%
32	201405	93.171801	25.34822577	25.05488745	25.64156409	27%
33	201406	64.874584	17.66862506	18.18846478	17.14878533	27%
34	201407	58.0047751	15.55227492	15.97394891	15.13060093	27%
35	201408	120.9938685	36.86344012	36.14537458	37.58150567	30%
36	201409	57.0226382	22.21040866	21.18035747	23.24045986	39%
37	201410	63.8403026	37.43407738	35.99751241	38.87064236	59%
38	201411	168.4975455	70.41274566	68.40361797	72.63457675	42%
39	201412	121.113773	36.66775277	33.23691283	39.88822189	30%
40	201501	85.9627055	30.67072256	27.00238144	33.93147022	36%
41	201502	47.1329572	11.72133991	10.88783556	12.48910338	25%
42	201503	90.7552695	27.97496007	26.79855496	29.15136518	31%
43	201504	84.7585575	22.60702707	22.28212023	22.9319339	27%
44	201505	105.0848695	30.14209211	29.41139699	30.87278722	29%
45	201506	82.1259305	25.92744269	26.12865208	25.72623331	32%
46	201507	134.502203	37.50246332	37.11398212	37.89094451	28%
47	201508	106.686563	29.32632184	28.37256479	30.2800789	27%
48	201509	53.420445	16.09198803	16.3545816	15.82939447	30%
49	201510	39.6324325	13.09230435	13.68124724	12.50336146	33%
